Subject,Start Date,All Day Event,Description
대체공휴일,2025-03-02,True,2025학년도 학사일정
자치1(선거),2025-03-13,True,2025학년도 학사일정
상담주간 (3/16-3/27),2025-03-16,True,2025학년도 학사일정
수업공개 학부모총회,2025-03-18,True,2025학년도 학사일정
"A,진로1,자치1 동아리1",2025-03-20,True,2025학년도 학사일정
(교직원회의),2025-03-23,True,2025학년도 학사일정
"B,자치2,동아리1",2025-03-27,True,2025학년도 학사일정
금요수업,2025-04-30,True,2025학년도 학사일정
자치1,2025-05-03,True,2025학년도 학사일정
금요수업,2025-04-09,True,2025학년도 학사일정
학급별 체험학습,2025-04-10,True,2025학년도 학사일정
"A,자치1,동아리3",2025-04-17,True,2025학년도 학사일정
(교직원회의),2025-04-20,True,2025학년도 학사일정
②③중간고사(2) ①진로체험(4),2025-05-28,True,2025학년도 학사일정
②③중간고사(3) ①진로체험(4),2025-05-29,True,2025학년도 학사일정
재량휴업일,2025-06-01,True,2025학년도 학사일정
재량휴업일,2025-05-04,True,2025학년도 학사일정
어린이날,2025-05-05,True,2025학년도 학사일정
임원수련회,2025-05-08,True,2025학년도 학사일정
"자치2, 봉사2 교학공의날",2025-05-15,True,2025학년도 학사일정
대체공휴일,2025-05-25,True,2025학년도 학사일정
금요수업,2025-05-28,True,2025학년도 학사일정
"B,자치1,동아리3",2025-05-29,True,2025학년도 학사일정
(교직원회의),2025-06-01,True,2025학년도 학사일정
지방선거,2025-06-03,True,2025학년도 학사일정
영어듣기평가(안),2025-06-10,True,2025학년도 학사일정
"A,자치1,동아리3",2025-06-19,True,2025학년도 학사일정
(교직원회의),2025-07-29,True,2025학년도 학사일정
②③기말고사(2) ①진로체험(4),2025-07-07,True,2025학년도 학사일정
②③기말고사(3) ①진로체험(4),2025-07-08,True,2025학년도 학사일정
②③기말고사(2) ①진로체험(7),2025-07-09,True,2025학년도 학사일정
"B,자치1,동아리3",2025-07-10,True,2025학년도 학사일정
제헌절,2025-07-17,True,2025학년도 학사일정
(교직원회의),2025-07-20,True,2025학년도 학사일정
방학식,2025-07-22,True,2025학년도 학사일정
방학,2025-07-23,True,2025학년도 학사일정
방학,2025-07-24,True,2025학년도 학사일정
방학,2025-08-10,True,2025학년도 학사일정
방학,2025-08-11,True,2025학년도 학사일정
개학식(2학기시작),2025-08-12,True,2025학년도 학사일정
대체공휴일,2025-08-17,True,2025학년도 학사일정
(교직원회의) 상담주간(8/24-28),2025-08-24,True,2025학년도 학사일정
"A,자치1,동아리3",2025-08-28,True,2025학년도 학사일정
임원수련회,2025-10-04,True,2025학년도 학사일정
수업공개(6),2025-09-09,True,2025학년도 학사일정
"B,자치1,동아리3",2025-09-18,True,2025학년도 학사일정
(교직원회의),2025-09-21,True,2025학년도 학사일정
금요수업,2025-09-23,True,2025학년도 학사일정
추석 연휴,2025-09-24,True,2025학년도 학사일정
추석,2025-09-25,True,2025학년도 학사일정
(교학공의 날),2025-10-30,True,2025학년도 학사일정
대체공휴일,2025-10-05,True,2025학년도 학사일정
①②중간고사(3) ③정상수업(6),2025-10-06,True,2025학년도 학사일정
①②중간고사(2) ③정상수업(7),2025-10-07,True,2025학년도 학사일정
한글날,2025-10-09,True,2025학년도 학사일정
영어듣기평가(안),2025-10-14,True,2025학년도 학사일정
(교직원회의),2025-10-19,True,2025학년도 학사일정
①②정상수업 ③기말고사(2),2025-10-27,True,2025학년도 학사일정
①②학년별체험 ③기말고사(3),2025-10-28,True,2025학년도 학사일정
①②정상수업 ③기말고사(2),2025-10-29,True,2025학년도 학사일정
"A,자치1,동아리3",2025-10-30,True,2025학년도 학사일정
금요수업,2025-11-16,True,2025학년도 학사일정
금B 수능 예비소집,2025-11-18,True,2025학년도 학사일정
대입수능,2025-11-19,True,2025학년도 학사일정
재량휴업일,2025-11-20,True,2025학년도 학사일정
"A,자치1,동아리3",2025-11-27,True,2025학년도 학사일정
(교직원회의),2025-12-30,True,2025학년도 학사일정
①②기말고사(3) ③4교시수업,2025-12-07,True,2025학년도 학사일정
①②기말고사(2) ③4교시수업,2025-12-08,True,2025학년도 학사일정
①②기말고사(2) ③학년 체험학습,2025-12-09,True,2025학년도 학사일정
동아리 축제,2025-12-22,True,2025학년도 학사일정
"금B,자치3",2025-12-24,True,2025학년도 학사일정
성탄절,2025-12-25,True,2025학년도 학사일정
"(교직원회의,사정회)",2025-12-28,True,2025학년도 학사일정
학급별 체험학습,2025-12-29,True,2025학년도 학사일정
종업식 및 졸업식,2025-12-31,True,2025학년도 학사일정
신정/방학,2026-01-01,True,2025학년도 학사일정
