Subject,Start Date,End Date,All Day Event,Description
신년수양회,2026-01-01,2026-01-01,True,
WTP Sport Day,2026-01-17,2026-01-17,True,책임자: 양철원
새내기 예비 캠프,2026-01-26,2026-01-27,True,책임자: 이성은(윤준호)
"팀별모임, 동소제 준비",2026-03-02,2026-03-02,True,
동소제 참여,2026-03-03,2026-03-05,True,책임자: 권혁준
신입생 환영모임,2026-03-18,2026-03-18,True,책임자: 윤준호
상반기 첫 캠퍼스 수요모임,2026-03-25,2026-03-25,True,
팀별 피크닉 데이,2026-04-04,2026-04-04,True,
패밀리 데이,2026-05-05,2026-05-05,True,
캠퍼스 체육대회,2026-05-25,2026-05-25,True,책임자: 임세범
상반기 마지막 수요모임,2026-05-27,2026-05-27,True,
팀별모임(지방선거일),2026-06-03,2026-06-03,True,
여름 수양회,2026-06-27,2026-06-27,True,책임자: 이성은
STP,2026-06-29,2026-08-14,True,
STP Sports Day,2026-07-25,2026-07-25,True,책임자: 양철원
60주년,2026-09-06,2026-09-06,True,
동소제 참여(예상),2026-09-01,2026-09-14,True,책임자: 권혁준
캠퍼스 초청모임,2026-09-16,2026-09-16,True,책임자: 윤준호
추석교제,2026-09-24,2026-09-27,True,
하반기 첫 캠퍼스 수요모임,2026-09-30,2026-09-30,True,
캠퍼스 Sports Day,2026-10-03,2026-10-03,True,책임자: 양철원
캠퍼스 Sports Day,2026-10-05,2026-10-05,True,책임자: 양철원
캠퍼스 Sports Day,2026-10-09,2026-10-09,True,책임자: 양철원
캠퍼스 Sports Day,2026-10-10,2026-10-10,True,책임자: 양철원
하반기 마지막 수요모임,2026-12-04,2026-12-04,True,
크리스마스 모임,2026-12-24,2026-12-24,True,책임자: 임세범
