Subject,Start Date,End Date,All Day Event,Description
여름 수양회,2026-06-27,2026-06-27,True,책임자: 이성은
캠퍼스 체육대회,2026-05-25,2026-05-25,True,책임자: 임세범
캠퍼스 Sports Day,2026-10-09,2026-10-09,True,책임자: 양철원
크리스마스 모임,2026-12-24,2026-12-24,True,책임자: 임세범
팀별모임(지방선거일),2026-06-03,2026-06-03,True,
캠퍼스 초청모임,2026-09-16,2026-09-16,True,책임자: 윤준호
패밀리 데이,2026-05-05,2026-05-05,True,
캠퍼스 Sports Day,2026-10-03,2026-10-03,True,책임자: 양철원
WTP Sport Day,2026-01-17,2026-01-17,True,책임자: 양철원
팀별 피크닉 데이,2026-04-04,2026-04-04,True,
신년수양회,2026-01-01,2026-01-01,True,
60주년,2026-09-06,2026-09-06,True,
추석교제,2026-09-24,2026-09-26,True,
"팀별모임, 동소제 준비",2026-03-02,2026-03-02,True,
신입생 환영모임,2026-03-18,2026-03-18,True,책임자: 윤준호
하반기 첫 캠퍼스 수요모임,2026-09-30,2026-09-30,True,
하반기 마지막 수요모임,2026-12-02,2026-12-02,True,
동소제 참여,2026-03-03,2026-03-04,True,책임자: 권혁준
캠퍼스 Sports Day,2026-10-05,2026-10-05,True,책임자: 양철원
상반기 마지막 수요모임,2026-05-27,2026-05-27,True,
STP Sports Day,2026-07-25,2026-07-25,True,책임자: 양철원
상반기 첫 캠퍼스 수요모임,2026-03-25,2026-03-25,True,
새내기 예비 캠프,2026-02-06,2026-02-07,True,책임자: 이성은(윤준호)
캠퍼스 Sports Day,2026-10-10,2026-10-10,True,책임자: 양철원
